CHROM PositionOfIntrest NearestGene Iterations
2L 14737070 CG31835 11
2L 18899544 ssp3 11
3L 22502958 CG43331 12
3R 20036401 CG17193 12
3L 2652068 Snup 11
3L 17339889 CG13727 12
X 21231305 CG32523 11
3L 8601928 RpL14 10
3R 24130287 Tsc1 11
3R 24840489 sosie 11
2R 12593175 Sin3A 11
3L 5917885 CG10483 12
X 10852426 feo 11
2R 12035901 CG8321 10
3L 1232862 CG33965 12
2R 15511690 GalNAc-T1 11
3L 16584104 CG4169 12
3R 7345049 CG31496 12
2L 1497223 CG31661 12
3L 8600986 RpL14 12
3L 5342064 lama 12
2L 19041842 Catsup 12
3R 25847219 CG14545 11
3L 19807212 CG14104 11
4 915277 eIF4G 7
3L 21594577 TfAP-2 10
2R 23804791 CG13561 12
2R 10836550 CG7686 12
2L 453088 CG4164 12
2L 12543156 bun 6
2L 9436784 CG3769 11
2L 7605580 Cyp4d21 12
2L 9584650 gcm 12
3R 18705481 Cha 11
3R 13008364 CG7518 11
3L 11231287 CG42671 12
3L 1140409 bab2 12
X 17639127 RhoGAPp190 11
X 15793701 CG8974 11
3R 30744585 Npc2g 12
3L 8229204 eIF4E-3 12
2R 19733268 CG8517 11
3R 15860176 CG31183 12
X 14718253 NetB 10
X 875712 CG43867 5
2R 24565534 uri 12
2R 12015075 otk 12
3L 5764093 CG10576 11
3R 10408598 Irp-1B 12
3L 7912443 CG8281 12
2L 8970500 CG18088 10
3L 146413 CG6845 11
2R 12985347 Psc 11
X 21026105 CG1532 11
2L 203759 mRpL10 11
2R 13854639 CG6553 12
2R 7656875 CG30495 11
2L 18090717 CG15153 12
3R 14886436 CG33331 12
3R 5638635 CG12170 11
3R 30418747 CG2217 12
3R 31459802 lox 12
X 1523534 Mur2B 11
3R 16454472 CG10405 12
3L 4655385 axo 10
2L 2300083 CG31949 11
3R 5914296 CG34113 12
3L 11592427 CG33268 12
2L 8991715 CG9555 11
2R 15091925 chn 11
3R 25025215 Hr96 11
3R 23355200 ATPsyn-Cf6 12
2L 20376961 CG16798 11
2R 23865394 CG4585 9
2L 2532979 CG3528 12
2R 7454902 Inos 11
2L 13197082 Edem2 11
3L 16103412 CG5414 12
3R 5378073 kkv 12
2R 8089462 sut3 12
3L 20798625 CG4365 11
X 5958187 CG6067 10
2L 18739300 CG42752 11
2R 11394333 CG30022 11
2R 22348287 Liprin-gamma 12
3R 11241163 scpr-A 11
2L 2968273 Rbp9 10
X 13115111 CG42237 11
3L 22738688 l(3)04053 12
3R 23399219 CG17380 11
2R 16226481 CG15706 9
3L 15121552 Cep135 7
2L 18677201 CG31751 12
3R 9265007 Aats-trp 11
X 11990098 CG18130 11
2R 16199406 CG44243 11
2L 20648031 CG2608 12
X 20538477 RunxB 11
X 2094214 csw 11
2R 19330869 Rgk1 4
